Unnamed: 0,Unnamed: 1,Unnamed: 2,Passing,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Rushing,Unnamed: 10,Unnamed: 11,Unnamed: 12,Receiving,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fumbles,Unnamed: 18
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Trayveon Williams,10,4,0,0,0,0,0,0,15,51,0,0,1,4,0,0,0,0
Juwann Winfree,13,4,0,0,0,0,0,0,0,0,0,0,8,58,0,0,1,0
Charlie Woerner,6,4,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0
J.J. Arcega-Whiteside,14,3,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
Kalen Ballage,7,3,0,0,0,0,0,0,12,36,0,0,2,8,0,0,0,0
C.J. Board,10,3,0,0,0,0,0,0,1,6,0,0,4,51,0,0,0,0
Greg Dortch,12,3,0,0,0,0,0,0,1,24,0,0,3,15,0,0,0,0
Luke Farrell,7,3,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,0
Darren Fells,9,3,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Garrett Griffin,6,3,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Penny Hart,9,3,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0
Chad Henne,12,3,16,11,82,0,0,0,8,0,0,0,0,0,0,0,0,0
Parker Hesse,6,3,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
K.J. Hill,7,3,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
Jakob Johnson,14,3,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Tre' McKitty,7,3,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0
D.J. Montgomery,6,3,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Kene Nwangwu,7,3,0,0,0,0,0,0,13,61,0,0,4,9,0,0,0,0
Josh Oliver,7,3,0,0,0,0,0,0,0,0,0,0,9,66,0,0,0,0
Amari Rodgers,13,3,0,0,0,0,0,0,1,11,0,0,4,45,0,0,0,0
Jeremy Sprinkle,7,3,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Mike Thomas,10,3,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0
